p,kappa,estimator_variant,r_f_mean,r_f_std,mae_b_mean,mae_b_std,fallback_weight_mean
0.25,5.0,fixed_q_0.3,1.373009923629691,0.07611002411147523,0.24840782285179808,0.07896784633801761,
0.25,5.0,oracle_aqf,1.234027908367007,0.06921639021211518,0.06671923427927232,0.06229234872446933,
0.35,0.5,estimated_aqf,4.848494045190971,0.5888811773938839,0.5246809400930833,0.07680972289863074,0.5781517778055126
0.35,0.5,fixed_q_0.1,7.703252504933839,0.9616369631849265,1.1230571981006927,0.10236225854241218,
0.35,0.5,fixed_q_0.2,5.60050708050071,0.6240129931837806,0.6955482568617063,0.08168021860846872,
0.35,0.5,fixed_q_0.3,4.210733650091404,0.452660567836651,0.3726242590789516,0.06438921569767513,
0.35,0.5,oracle_aqf,2.940531297387194,0.32925515836121466,0.052856953967635435,0.045101957306876966,
0.35,1.0,estimated_aqf,2.6990675711486527,0.2692763120982511,0.4033436783082955,0.10491938281503699,0.6024844706955974
0.35,1.0,fixed_q_0.1,4.275127654469741,0.35131715675638986,1.0513582089849218,0.1067273910941711,
0.35,1.0,fixed_q_0.2,3.08119799826009,0.2917549439495147,0.5717661167478675,0.1044409714290089,
0.35,1.0,fixed_q_0.3,2.371619877768436,0.22124534185976297,0.24884971493472668,0.08735376412009031,
0.35,1.0,oracle_aqf,1.8964152178058111,0.20800363910830275,0.06877853258010891,0.0440599045166164,
0.35,1.5,estimated_aqf,1.9187494879936189,0.15200151104099088,0.3068296501126957,0.12043730166046687,0.6907380622552701
0.35,1.5,fixed_q_0.1,3.0376744209417397,0.2155823105407507,1.0206221521458272,0.10297338826760176,
0.35,1.5,fixed_q_0.2,2.283072762545843,0.15807745257911293,0.5556936518736949,0.06448827449751801,
0.35,1.5,fixed_q_0.3,1.7400840835369844,0.10118437416422005,0.17550160589303285,0.06549618993430872,
0.35,1.5,oracle_aqf,1.5153565377671192,0.11120911224839884,0.053594951260431234,0.04320930344662538,
0.35,2.0,estimated_aqf,1.6092360486517603,0.14239202756428349,0.20968677953330978,0.07613171624605515,0.7381058960412313
0.35,2.0,fixed_q_0.1,2.5772527427970813,0.17778955369990854,1.0254891279577545,0.08789967205017582,
0.35,2.0,fixed_q_0.2,1.9357604433006492,0.12056515527435509,0.5062574241924258,0.05832627304714758,
0.35,2.0,fixed_q_0.3,1.504313895260996,0.0978154896430535,0.11186832829059057,0.05698504819083961,
0.35,2.0,oracle_aqf,1.3873577975658118,0.08180766088152196,0.049678568905635066,0.0384096483748608,
0.35,2.5,estimated_aqf,1.353282751827201,0.07188878145307613,0.08328668467916929,0.06032304567224021,0.9137057582792807
0.35,2.5,fixed_q_0.1,2.2089290022915025,0.12841660411837055,0.9923290058259873,0.07728577819977395,
0.35,2.5,fixed_q_0.2,1.715180017872397,0.09314182147724738,0.48952770502554416,0.08873356704883946,
0.35,2.5,fixed_q_0.3,1.388129450653325,0.09329957395525666,0.1144119233380759,0.08366826947930091,
