scenario_id,p,kappa,replicate,estimator_variant,q_used,backbone_hat,r_f,mae_b,p_hat,kappa_hat,d_hat,fallback_weight
p06_k01,0.65,1.0,17,fixed_q_0.2,0.2,9.702824467910979,1.8023669268400877,0.29717553208902103,,,,
p06_k01,0.65,1.0,17,fixed_q_0.3,0.3,10.040842389952962,1.3878268041452717,0.040842389952961966,,,,
p06_k01,0.65,1.0,17,oracle_aqf,0.2781259150554471,9.97702161673133,1.4618113027009598,0.0229783832686703,,,,
p06_k01,0.65,1.0,17,estimated_aqf,0.2500033985670507,9.850635761234429,1.6144771112108223,0.14936423876557114,0.4737173371183631,1.2393425300627414,0.876347507220257,0.4381737536101285
p06_k01,0.65,1.0,18,fixed_q_0.1,0.1,9.320056055782896,2.067515238038497,0.6799439442171042,,,,
p06_k01,0.65,1.0,18,fixed_q_0.2,0.2,9.662021703978255,1.6324356673998859,0.33797829602174545,,,,
p06_k01,0.65,1.0,18,fixed_q_0.3,0.3,9.986553762207635,1.268812219638669,0.013446237792365423,,,,
p06_k01,0.65,1.0,18,oracle_aqf,0.2781259150554471,9.936277249798444,1.3223527222184184,0.06372275020155627,,,,
p06_k01,0.65,1.0,18,estimated_aqf,0.22402432538622413,9.727320125515604,1.5559231643214373,0.2726798744843961,0.5675204165416463,1.7554489653884493,1.2412898674530815,0.6206449337265407
p06_k01,0.65,1.0,19,fixed_q_0.1,0.1,9.203840208541708,2.2804485011925477,0.7961597914582921,,,,
p06_k01,0.65,1.0,19,fixed_q_0.2,0.2,9.63413235071368,1.6953395518705563,0.36586764928632043,,,,
p06_k01,0.65,1.0,19,fixed_q_0.3,0.3,9.998470223503006,1.2605926466877513,0.0015297764969943728,,,,
p06_k01,0.65,1.0,19,oracle_aqf,0.2781259150554471,9.913630076878032,1.3567873894608875,0.08636992312196767,,,,
p06_k01,0.65,1.0,19,estimated_aqf,0.26202218328814136,9.839456379132013,1.4431448853930493,0.1605436208679869,0.4197909854050119,1.4504613463921379,1.0256310538828504,0.5128155269414252
p07_k01,0.75,1.0,0,fixed_q_0.1,0.1,9.406991056854698,1.8371237177508974,0.5930089431453016,,,,
p07_k01,0.75,1.0,0,fixed_q_0.2,0.2,9.78027741370464,1.4192490579178152,0.2197225862953598,,,,
